Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",10/12/2022 11:29,,,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,ApplicationStart,,,,,,,
0,Normal,10,,10/12/2022 11:32,,FALSE,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,FingerFollowConfig,,,,,,,
3,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018821958,,,0,
3,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.2136347,0.780109823,0.42904371,,,0,
71,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018821975,,,1,0
71,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.216554463,0.775970578,0.428128064,,,1,0
160,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018822012,,,2,1
160,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.220354527,0.772977471,0.427253842,,,2,1
245,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.765961111,-0.018821977,,,3,2
245,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.221658185,0.773578703,0.426121533,,,3,2
329,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018822057,,,4,3
329,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.218385011,0.776268601,0.423410982,,,4,3
413,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018821958,,,5,4
413,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.206617922,0.784135699,0.421833932,,,5,4
496,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018821975,,,6,5
496,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.181132853,0.804042161,0.425900578,,,6,5
580,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.765961289,-0.018821973,,,7,6
580,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.148742437,0.832951307,0.427733511,,,7,6
650,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.765961051,-0.018821977,,,8,7
650,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.121564448,0.856818259,0.420933008,,,8,7
734,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596123,-0.01882196,,,9,8
734,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.095410906,0.875285685,0.405065984,,,9,8
818,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.765961289,-0.018821882,,,10,9
818,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.080886722,0.882502973,0.38802588,,,10,9
902,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596123,-0.018821944,,,,
902,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.068790749,0.889382839,0.3769238,,,,
985,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.76596117,-0.018821957,,,,
985,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.054720506,0.902886212,0.368553907,,,,
1068,,,,10/12/2022 11:32,FingerFollowData,,,LeftControllerPosition,-0.809717059,0.765961111,-0.018821977,,,,
1068,,,,10/12/2022 11:32,FingerFollowData,,,RightControllerPosition,-0.039996147,0.922107279,0.355597377,,,,
