Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",10/12/2022 10:48,,,c91b8ae2-60b8-4ea8-a885-c091b56f668d,ApplicationStart,,,,,,,
0,Normal,10,,10/12/2022 10:50,,FALSE,c91b8ae2-60b8-4ea8-a885-c091b56f668d,FingerFollowConfig,,,,,,,
4,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.841041148,0.743265808,-0.482544452,,,0,
4,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.020355038,0.65684092,0.348428816,,,0,
83,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.846965492,0.747602344,-0.469700903,,,1,0
83,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.021150399,0.65803206,0.348321646,,,1,0
164,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.851792037,0.751203299,-0.458281994,,,2,1
164,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.021598443,0.660553396,0.349332303,,,2,1
247,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.854536712,0.751015246,-0.447923481,,,3,2
247,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.021311436,0.663525403,0.35017994,,,3,2
330,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.85658592,0.74848032,-0.436837554,,,4,3
330,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.019273899,0.6648947,0.351815403,,,4,3
413,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.859487057,0.741844654,-0.417770624,,,5,4
413,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.012510769,0.670530617,0.358568311,,,5,4
497,,,,10/12/2022 10:50,FingerFollowData,,,LeftControllerPosition,-0.863357186,0.73491317,-0.394364029,,,6,5
497,,,,10/12/2022 10:50,FingerFollowData,,,RightControllerPosition,-0.002546333,0.685278296,0.369803458,,,6,5
