Value.CombinedEyesConvergenceDistance,Value.CombinedEyesConvergenceDistanceValidity,Value.CombinedEyesGazeDirectionNormalized_x,Value.CombinedEyesGazeDirectionNormalized_y,Value.CombinedEyesGazeDirectionNormalized_z,Value.CombinedEyesGazeOrigin_x,Value.CombinedEyesGazeOrigin_y,Value.CombinedEyesGazeOrigin_z,Value.CombinedEyesOpenness,Value.CombinedEyesPupilDiameter,Value.CombinedEyesPupilPositionInSensorArea_x,Value.CombinedEyesPupilPositionInSensorArea_y,Value.Distance,Value.ElapsedTime,Value.LeftEyeGazeDirectionNormalized_x,Value.LeftEyeGazeDirectionNormalized_y,Value.LeftEyeGazeDirectionNormalized_z,Value.LeftEyeGazeOrigin_x,Value.LeftEyeGazeOrigin_y,Value.LeftEyeGazeOrigin_z,Value.LeftEyeOpenness,Value.LeftEyePupilDiameter,Value.LeftEyePupilPositionInSensorArea_x,Value.LeftEyePupilPositionInSensorArea_y,Value.RightEyeGazeDirectionNormalized_x,Value.RightEyeGazeDirectionNormalized_y,Value.RightEyeGazeDirectionNormalized_z,Value.RightEyeGazeOrigin_x,Value.RightEyeGazeOrigin_y,Value.RightEyeGazeOrigin_z,Value.RightEyeOpenness,Value.RightEyePupilDiameter,Value.RightEyePupilPositionInSensorArea_x,Value.RightEyePupilPositionInSensorArea_y,Value.Scenario,Value.TargetSize,Value.Time,Value.TimeFixation,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""EyeTrackingFollowScene"",""EyeTrackingFollowScene"",""EyeTrackingFollowScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingFixationScene"",""EyeTrackingMultipleScene"",""EyeTrackingMultipleScene"",""EyeTrackingMultipleScene""]",,2022-10-20 11:02:36 AM,,,,8113a53c-efad-4279-8a20-7c0288dab162,ApplicationStart
,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,1,2022-10-20 11:03:36 AM,7,,false,8113a53c-efad-4279-8a20-7c0288dab162,EyeTrackingFixConfig
0,false,-0.0108795166015625,-0.1768798828125,0.984161376953125,14.483856201171875,1.5009918212890625,-23.73504638671875,0,0,0,0,,0,-0.011749267578125,-0.173980712890625,0.9846649169921875,35.30596923828125,1.386810302734375,-24.48309326171875,0.9595828056335449,4.1248931884765625,0.4553565979003906,0.504637598991394,-0.0089874267578125,-0.1831207275390625,0.9830474853515625,-30.393142700195312,1.7470855712890625,-22.122802734375,0.9582266211509705,4.6129913330078125,0.4842314124107361,0.4714137613773346,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0108795166015625,-0.1768798828125,0.984161376953125,14.483856201171875,1.5009918212890625,-23.73504638671875,0,0,0,0,,0,-0.011749267578125,-0.173980712890625,0.9846649169921875,35.30596923828125,1.386810302734375,-24.48309326171875,0.9595828056335449,4.1248931884765625,0.4553565979003906,0.504637598991394,-0.0089874267578125,-0.1831207275390625,0.9830474853515625,-30.393142700195312,1.7470855712890625,-22.122802734375,0.9582266211509705,4.6129913330078125,0.4842314124107361,0.4714137613773346,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0108795166015625,-0.1768798828125,0.984161376953125,14.483856201171875,1.5009918212890625,-23.73504638671875,0,0,0,0,,3,-0.011749267578125,-0.173980712890625,0.9846649169921875,35.30596923828125,1.386810302734375,-24.48309326171875,0.9540212154388428,4.1248931884765625,0.4553565979003906,0.504637598991394,-0.0089874267578125,-0.1831207275390625,0.9830474853515625,-30.393142700195312,1.7470855712890625,-22.122802734375,0.9643895626068115,4.6129913330078125,0.4842314124107361,0.4714137613773346,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0139617919921875,-0.1837310791015625,0.9828643798828125,7.203094482421875,1.5121002197265625,-23.4678955078125,0,0,0,0,,15,-0.0208740234375,-0.179779052734375,0.9834747314453125,35.288848876953125,1.3789825439453125,-24.548065185546875,0.9540212154388428,4.0705413818359375,0.4573647379875183,0.506347119808197,-0.0047149658203125,-0.188995361328125,0.981964111328125,-30.380661010742188,1.69024658203125,-22.022430419921875,0.9643895626068115,4.7024383544921875,0.4832215905189514,0.47344231605529785,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0120697021484375,-0.1804962158203125,0.983489990234375,6.139617919921875,1.521209716796875,-23.438568115234375,0,0,0,0,,23,-0.0176849365234375,-0.1755828857421875,0.9842987060546875,35.29307556152344,1.3862762451171875,-24.567596435546875,0.9635500311851501,4.05517578125,0.45676276087760925,0.5055896639823914,-0.0050201416015625,-0.1866607666015625,0.9824066162109375,-30.380661010742188,1.69024658203125,-22.02423095703125,0.9581835865974426,4.60931396484375,0.4832215905189514,0.4729844033718109,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0120697021484375,-0.1804962158203125,0.983489990234375,6.139617919921875,1.521209716796875,-23.438568115234375,0,0,0,0,,27,-0.0176849365234375,-0.1755828857421875,0.9842987060546875,35.29307556152344,1.3862762451171875,-24.567596435546875,0.9635500311851501,4.05517578125,0.45676276087760925,0.5055896639823914,-0.0050201416015625,-0.1866607666015625,0.9824066162109375,-30.380661010742188,1.69024658203125,-22.02423095703125,0.9581835865974426,4.60931396484375,0.4832215905189514,0.4729844033718109,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0120697021484375,-0.1804962158203125,0.983489990234375,6.139617919921875,1.521209716796875,-23.438568115234375,0,0,0,0,,38,-0.0176849365234375,-0.1755828857421875,0.9842987060546875,35.29307556152344,1.3862762451171875,-24.567596435546875,0.9635500311851501,4.05517578125,0.45676276087760925,0.5055896639823914,-0.0050201416015625,-0.1866607666015625,0.9824066162109375,-30.380661010742188,1.69024658203125,-22.02423095703125,0.9581835865974426,4.60931396484375,0.4832215905189514,0.4729844033718109,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
0,false,-0.0131683349609375,-0.182830810546875,0.9830474853515625,6.637786865234375,1.51898193359375,-23.461715698242188,0,0,0,0,,50,-0.0196075439453125,-0.17987060546875,0.983489990234375,35.29585266113281,1.3862762451171875,-24.57330322265625,0.9613814353942871,4.0540771484375,0.45696038007736206,0.5063239932060242,-0.004852294921875,-0.1866302490234375,0.9824066162109375,-30.381484985351562,1.690399169921875,-22.025802612304688,0.9718998074531555,4.6060791015625,0.4832215905189514,0.4729844033718109,,,2022-10-20 11:03:36 AM,,EyeTrackingFixData,,,EyeData
