Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",10/11/2022 12:32,,,b593e08a-4cc5-4a57-a616-6c7b9461a3b1,ApplicationStart,,,,,,,
0,Normal,10,,10/11/2022 12:34,,FALSE,b593e08a-4cc5-4a57-a616-6c7b9461a3b1,FingerFollowConfig,,,,,,,
3,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433838,0.753237247,-0.227444097,,,0,
3,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.042320017,0.799395084,0.200431108,,,0,
84,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433958,0.753236949,-0.227444142,,,1,0
84,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.042779271,0.800655067,0.201195747,,,1,0
165,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.753237545,-0.227444053,,,2,1
165,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.042664502,0.800305068,0.201459095,,,2,1
247,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433958,0.753236949,-0.227444142,,,3,2
247,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.041219067,0.798597813,0.199233741,,,3,2
330,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237426,-0.227444381,,,4,3
330,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040178791,0.798176408,0.197231159,,,4,3
413,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043354,0.753237665,-0.227444336,,,5,4
413,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040227879,0.798741639,0.196131602,,,5,4
497,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.75323689,-0.227444351,,,6,5
497,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040720306,0.799130976,0.195527032,,,6,5
580,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433481,0.753237903,-0.227444291,,,7,6
580,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040898852,0.798119307,0.195893407,,,7,6
664,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,8,7
664,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040247556,0.79557395,0.196421608,,,8,7
747,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433362,0.753237903,-0.22744444,,,9,8
747,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.03983235,0.792584836,0.19697012,,,9,8
831,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237545,-0.227444261,,,10,9
831,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.040013548,0.789763451,0.198367625,,,10,9
915,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
915,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.048887312,0.806339025,0.220374256,,,,
998,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237247,-0.227444485,,,,
998,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.084566839,0.877565324,0.269421011,,,,
1069,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
1069,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.108402766,0.950938165,0.292421341,,,,
1152,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237247,-0.227444306,,,,
1152,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.127070054,1.019507408,0.310674042,,,,
1236,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433898,0.75323689,-0.227444261,,,,
1236,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.143691063,1.049943566,0.334543765,,,,
1320,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.753237307,-0.227444187,,,,
1320,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.135267362,1.07493794,0.336475283,,,,
1403,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433421,0.753237665,-0.2274445,,,,
1403,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.121044442,1.090263128,0.347024351,,,,
1487,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043354,0.753237545,-0.227444425,,,,
1487,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.109663151,1.103413701,0.364380717,,,,
1570,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
1570,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.096998416,1.114069223,0.38067618,,,,
1654,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
1654,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.077598549,1.114962697,0.395393014,,,,
1738,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237307,-0.227444261,,,,
1738,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.067067064,1.114269137,0.40851447,,,,
1821,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237545,-0.227444321,,,,
1821,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.069303483,1.11283505,0.420811892,,,,
1905,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237128,-0.227444515,,,,
1905,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.075781338,1.108471155,0.429452568,,,,
1988,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237486,-0.227444276,,,,
1988,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.0793887,1.099610209,0.434852332,,,,
2071,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237724,-0.227444246,,,,
2071,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.077781223,1.095187902,0.437397867,,,,
2156,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237486,-0.227444276,,,,
2156,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.075862415,1.09548676,0.439079344,,,,
2239,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433481,0.753237784,-0.227444381,,,,
2239,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.073146306,1.103264928,0.438934535,,,,
2322,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
2322,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.068685308,1.118447781,0.433199912,,,,
2406,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
2406,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.066783331,1.135501981,0.425484121,,,,
2489,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043354,0.753237545,-0.227444425,,,,
2489,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.067972794,1.147616267,0.418839216,,,,
2573,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237247,-0.227444306,,,,
2573,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.068774901,1.152828813,0.414079487,,,,
2656,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
2656,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.07028345,1.151987076,0.412735105,,,,
2740,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433958,0.753236949,-0.227444142,,,,
2740,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.070614457,1.150013685,0.412512094,,,,
2824,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237486,-0.227444172,,,,
2824,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.06468077,1.150949001,0.410715491,,,,
2907,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237307,-0.227444381,,,,
2907,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.05850146,1.154482841,0.408834606,,,,
2977,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237545,-0.227444142,,,,
2977,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.052990615,1.153647304,0.408231854,,,,
3061,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237486,-0.227444276,,,,
3061,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.050239559,1.148165941,0.410993606,,,,
3145,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237486,-0.227444276,,,,
3145,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.052460697,1.139825344,0.416823864,,,,
3228,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
3228,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.051271025,1.136737823,0.418913156,,,,
3312,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237486,-0.227444172,,,,
3312,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.048805937,1.137826204,0.419595897,,,,
3395,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900434196,0.753236592,-0.227443948,,,,
3395,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.047602151,1.141498208,0.419679821,,,,
3479,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433719,0.753237247,-0.227444306,,,,
3479,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.049468126,1.142697453,0.41963923,,,,
3562,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433302,0.753237844,-0.22744453,,,,
3562,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.053369112,1.141028643,0.41990605,,,,
3646,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.75323689,-0.227444351,,,,
3646,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.060914759,1.136588931,0.422352761,,,,
3730,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237307,-0.227444381,,,,
3730,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.063259281,1.135840774,0.42282936,,,,
3813,,,,10/11/2022 12:34,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237545,-0.227444261,,,,
3813,,,,10/11/2022 12:34,FingerFollowData,,,RightControllerPosition,0.063524075,1.136258245,0.422069609,,,,
3897,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.75323689,-0.227444351,,,,
3897,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.061460029,1.137757659,0.420799792,,,,
3980,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.90043354,0.753237545,-0.227444425,,,,
3980,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.060332891,1.138201594,0.420341283,,,,
4064,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900434017,0.753237009,-0.227444008,,,,
4064,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059663244,1.137332916,0.420174778,,,,
4147,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433838,0.753237247,-0.227444097,,,,
4147,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059345372,1.135072589,0.420912534,,,,
4230,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.75323689,-0.227444351,,,,
4230,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059696849,1.132965922,0.422038853,,,,
4314,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433481,0.753237724,-0.22744441,,,,
4314,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059946865,1.132202864,0.422683626,,,,
4397,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
4397,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059394561,1.133335471,0.422295868,,,,
4481,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.90043366,0.753237486,-0.227444276,,,,
4481,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.059399746,1.133938432,0.421919733,,,,
4565,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237486,-0.227444351,,,,
4565,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.06080256,1.13293457,0.422413707,,,,
4648,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433838,0.753237247,-0.227444097,,,,
4648,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.063829154,1.131555438,0.423540205,,,,
4731,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.753237247,-0.227444217,,,,
4731,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.066690572,1.130016327,0.424654514,,,,
4815,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433481,0.753237784,-0.227444381,,,,
4815,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.067552626,1.128893375,0.424974382,,,,
4899,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.900433779,0.753237247,-0.227444217,,,,
4899,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.067898899,1.128426075,0.425362766,,,,
4982,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237545,-0.227444261,,,,
4982,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.068070419,1.127871275,0.425938219,,,,
5052,,,,10/11/2022 12:35,FingerFollowData,,,LeftControllerPosition,-0.9004336,0.753237545,-0.227444261,,,,
5052,,,,10/11/2022 12:35,FingerFollowData,,,RightControllerPosition,0.067840166,1.127208471,0.425997108,,,,
