Value.ElapsedTime,Value.PourHeight,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Score,Value.TimeTask
0,1.340000033378601,2022-10-04 11:31:38 AM,,false,efbca952-47c2-4e3b-aa9b-70c11ca201ab,EverydayTaskConfig,,,,,
0,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
0,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.2203311026096344,-0.3828519880771637,0.3573509454727173,,
57,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
57,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.2196855992078781,-0.38387686014175415,0.3569647967815399,,
81,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
81,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.2192172259092331,-0.3843933045864105,0.35708367824554443,,
154,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
154,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.21765491366386414,-0.3860595226287842,0.35757848620414734,,
169,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
169,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.21735228598117828,-0.3863779306411743,0.35768577456474304,,
241,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
241,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.21613910794258118,-0.38782957196235657,0.35808685421943665,,
255,,2022-10-04 11:31:38 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
255,,2022-10-04 11:31:38 AM,EverydayTaskData,,,RightControllerPosition,-0.21585078537464142,-0.3882078230381012,0.35812243819236755,,
324,,2022-10-04 11:31:39 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
324,,2022-10-04 11:31:39 AM,EverydayTaskData,,,RightControllerPosition,-0.2140926569700241,-0.3902784585952759,0.3584408462047577,,
339,,2022-10-04 11:31:39 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
339,,2022-10-04 11:31:39 AM,EverydayTaskData,,,RightControllerPosition,-0.2136620432138443,-0.39081674814224243,0.3585790991783142,,
395,,2022-10-04 11:31:39 AM,EverydayTaskData,,,LeftControllerPosition,-0.9635035991668701,-0.3206874132156372,-0.31336498260498047,,
