Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",10/20/2022 9:48,,,8971de99-20cc-42e0-947e-dab5a4c038f7,ApplicationStart,,,,,,,
0,Normal,10,,10/20/2022 9:51,,FALSE,8971de99-20cc-42e0-947e-dab5a4c038f7,FingerFollowConfig,,,,,,,
3,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007718,0.376925617,,,0,
3,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.018140534,0.637047887,0.203312948,,,0,
82,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378018975,0.720007896,0.376925647,,,1,0
82,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.017449437,0.636914849,0.204213694,,,1,0
164,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007956,0.376925617,,,2,1
164,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.017404346,0.636404335,0.204089686,,,2,1
247,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007837,0.376925558,,,3,2
247,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.017538033,0.635772407,0.204344973,,,3,2
330,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720008016,0.376925498,,,4,3
330,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.017153939,0.633235753,0.205680609,,,4,3
413,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720008016,0.376925588,,,5,4
413,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.016455617,0.633295774,0.206726059,,,5,4
496,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007956,0.376925528,,,6,5
496,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.014764417,0.630709529,0.209810853,,,6,5
580,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007837,0.376925498,,,7,6
580,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.013580041,0.629778564,0.212731436,,,7,6
663,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378018975,0.720007896,0.376925647,,,8,7
663,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.010332927,0.629208982,0.217915609,,,8,7
747,,,,10/20/2022 9:51,FingerFollowData,,,LeftControllerPosition,-1.378019094,0.720007718,0.376925498,,,9,8
747,,,,10/20/2022 9:51,FingerFollowData,,,RightControllerPosition,-0.00611046,0.63160485,0.222587109,,,9,8
